feature,mdi,permutation_mean,permutation_std,combined_z
binary_outcome,0.2951538734947987,0.551290060419553,0.16938173790784217,1.8822011573094704
etio_TC,0.26056544863850306,0.11020059280906994,0.05510169220273346,0.5276010198195777
gcs,0.15296079612487842,0.1507072108637632,0.039790356901352145,0.1899988985444026
etio_ACR,0.1945456424182548,0.07455676013511028,0.03264277430229661,0.15446616761769608
sex_M,0.09677423932356502,0.10493382955190164,0.040965650219647015,-0.16992310258952717
dx_CTRL,0.0,0.0,0.0,-0.8614480469005399
dx_pacientes,0.0,0.0,0.0,-0.8614480469005399
etio_Cntrl,0.0,0.0,0.0,-0.8614480469005399
